seg,lon,lat
420302,-104.62106,46.496581
420303,-104.996151,46.49697
420304,-105.366663,46.500001
420305,-105.741663,46.500001
420306,-106.116663,46.500001
420307,-106.491663,46.500001
420308,-106.866663,46.500001
420309,-107.241663,46.500001
420310,-107.624999,46.500001
420311,-108.691664,46.500001
420312,-109.074999,46.500001
420313,-109.449999,46.500001
420314,-109.824999,46.500001
420315,-110.208334,46.500001
420401,-104.237823,46.991218
420402,-104.616663,46.990415
420403,-104.991663,46.990831
420404,-105.383329,46.99125
420405,-105.766664,46.992086
420406,-106.141664,46.992752
420407,-106.516664,46.993001
420408,-106.891664,46.993165
420409,-107.274999,46.99333
420410,-107.658334,46.9925
420411,-108.041665,46.99142
420412,-108.416665,46.991001
420413,-108.791665,46.990831
420414,-109.591664,46.989421
420415,-109.974999,46.989421
420501,-104.241663,47.500001
420502,-104.624999,47.500001
420503,-105.008334,47.500001
420504,-105.391664,47.500001
420505,-105.774999,47.500001
420506,-106.158334,47.500001
420507,-106.541665,47.500001
420508,-106.924999,47.500001
420509,-107.308334,47.500001
420510,-107.691664,47.500001
420511,-108.074999,47.500001
420512,-108.458334,47.500001
420513,-108.841664,47.500001
420514,-109.224999,47.500001
420515,-110.919568,47.353825
420516,-111.274999,47.36667
420601,-104.241663,47.750001
420602,-104.624999,47.750001
420603,-105.008334,47.750001
420604,-105.399999,47.750001
420605,-105.791665,47.750001
420606,-106.174999,47.750001
420607,-106.558334,47.750001
420612,-109.108334,47.750001
420613,-109.499999,47.750001
420614,-109.891664,47.750001
420615,-110.274999,47.750001
420616,-110.658334,47.750001
420701,-104.241663,48.000001
420702,-104.624999,48.000001
420703,-105.008334,48.000001
420704,-105.399999,48.000001
420705,-105.791665,48.000001
420706,-106.174999,48.000001
430801,-101.343049,47.702855
430802,-101.732714,47.702935
430803,-102.122328,47.702749
430804,-102.504163,47.702669
430805,-102.883334,47.702669
430806,-103.258334,47.702669
430807,-103.649999,47.702669
431001,-101.041665,47.313329
431002,-101.424999,47.313329
431003,-101.808334,47.313329
431004,-102.191664,47.313329
431005,-102.575904,47.314098
431006,-102.959241,47.313545
431007,-103.341659,47.313329
431008,-103.724994,47.313329
431201,-100.774999,47.000001
431202,-101.160399,47.000001
431203,-101.543729,47.000001
431204,-101.916665,46.999992
431205,-102.291665,46.999982
431206,-102.666665,46.999992
431207,-103.041665,46.999992
431208,-103.383249,46.999992
431401,-100.208334,46.684999
431402,-100.583334,46.686664
431403,-100.963495,46.688329
431404,-101.346819,46.688329
431405,-101.733134,46.688329
431406,-102.185986,46.688805
431407,-102.552846,46.688011
431408,-102.858334,46.688027
431601,-100.041665,46.31167
431602,-100.416665,46.3125
431603,-100.783334,46.313329
431604,-101.158334,46.3125
431605,-101.533249,46.31167
431606,-101.908249,46.31167
431607,-102.28775,46.312
431608,-102.662752,46.311558
440201,-100.367778,45.53333
440202,-100.751164,45.53333
440203,-101.13344,45.533456
440204,-101.500054,45.532131
440205,-101.874499,45.530324
440206,-102.249489,45.53052
440207,-102.616591,45.531329
440208,-102.983269,45.532909
440209,-103.349999,45.533325
440210,-103.716664,45.53333
440401,-100.016055,45.249391
440402,-100.383239,45.248781
440403,-100.758849,45.248781
440404,-101.133334,45.249391
440405,-101.507944,45.249391
440406,-101.874608,45.248781
440407,-102.233334,45.249391
440408,-102.607819,45.249891
440409,-102.982819,45.249891
440410,-103.349919,45.249916
440411,-103.716584,45.249916
440602,-100.308244,44.748561
440603,-100.674919,44.750001
440604,-101.049999,44.750011
440605,-101.416579,44.749925
440606,-101.783248,44.749305
440607,-102.149999,44.748556
440608,-102.516664,44.748331
440609,-102.883321,44.74842
440610,-103.249986,44.749092
440611,-103.616654,44.750001
440801,-100.633249,44.565
440802,-100.999999,44.56426
440803,-101.366663,44.565095
440804,-101.732324,44.566671
440805,-102.09846,44.566671
440806,-102.466135,44.566671
440807,-102.835515,44.566671
440808,-103.202179,44.566671
440809,-103.558329,44.566671
441001,-100.770158,44.377406
441002,-101.140165,44.372052
441003,-101.500828,44.371671
441004,-101.866663,44.371671
441005,-102.233334,44.371671
441006,-102.599894,44.371671
441007,-102.958224,44.371671
450201,-98.737899,48.732746
450202,-99.131414,48.732322
450203,-99.525024,48.732662
450204,-99.918769,48.732816
450205,-100.312914,48.732681
450206,-100.707924,48.732851
450207,-101.101929,48.733196
450208,-101.495934,48.73356
450209,-101.889439,48.733554
450210,-102.282444,48.733505
450211,-102.675455,48.733955
450212,-103.06896,48.73463
450213,-103.46397,48.734781
