"1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
5,68,4,85,112,104,78,17,0,13,16,5,73,48,210,203,220,54,91,139
4,32,10,31,40,52,40,10,0,10,9,5,12,14,64,92,91,16,27,63
52,79,47,75,136,139,112,0,0,55,51,19,60,80,108,172,173,98,89,123
22,54,16,57,116,101,101,0,45,26,31,8,24,28,46,97,204,40,60,64
24,36,10,44,89,71,41,23,25,9,11,6,13,17,20,83,144,19,25,59
31,50,34,60,93,99,50,45,31,21,24,17,37,34,44,94,110,38,31,265
60,112,57,182,220,142,63,0,0,50,51,10,76,68,120,209,156,114,122,162
22,25,14,38,47,63,42,29,22,11,12,5,21,21,47,54,87,34,38,85
23,19,11,57,59,72,54,35,0,21,43,21,58,21,46,31,35,13,66,36
21,22,16,46,56,58,50,31,0,11,33,16,71,23,37,21,26,10,62,44
20,15,12,73,92,92,130,0,0,24,93,88,135,54,76,37,69,13,124,85
29,11,22,44,49,50,66,39,0,10,35,47,84,35,40,31,34,20,66,53
22,5,11,24,15,47,58,27,0,4,9,25,97,17,20,30,36,10,55,68
18,7,7,21,7,17,22,11,22,5,9,18,34,11,14,19,17,8,19,34
14,8,13,21,11,18,31,10,22,8,13,12,24,21,13,20,17,8,31,28
8,2,4,19,3,5,10,4,10,5,7,9,13,19,18,12,10,4,21,18
25,7,10,21,10,14,18,5,14,7,9,10,13,13,15,11,11,8,27,21
25,3,5,17,6,12,13,5,9,4,6,10,14,12,9,14,6,2,21,22
33,9,20,47,10,20,23,5,19,10,10,12,22,42,32,29,24,7,60,22
28,15,18,45,40,58,78,26,0,12,42,17,72,33,54,33,29,8,88,47
38,22,11,26,35,26,37,19,26,11,22,20,39,20,32,25,23,13,44,39
45,19,31,58,39,56,66,42,0,15,39,38,108,41,77,12,39,18,68,95
24,7,9,44,19,48,61,29,0,6,20,21,95,27,37,15,25,6,45,38
25,9,9,17,9,15,19,11,18,6,9,11,33,17,16,18,9,6,18,21
12,1,5,0,5,15,12,6,10,2,5,10,21,9,7,9,5,1,15,17
26,8,10,21,13,19,20,8,15,8,11,18,33,23,15,20,15,11,29,34
24,12,16,19,11,12,14,8,18,10,12,12,26,27,16,25,21,7,30,30
42,12,16,31,18,15,21,10,18,13,11,16,28,41,19,30,32,9,29,40
37,14,23,36,16,36,47,15,23,10,12,24,52,29,21,32,22,10,32,48
63,24,23,21,49,36,28,15,41,10,17,11,31,47,21,33,25,15,43,128
51,16,16,52,26,60,76,44,0,35,66,36,100,54,61,35,37,19,78,137
47,28,11,53,14,115,100,38,0,11,61,41,132,48,32,25,19,13,93,100
44,10,19,37,24,69,76,24,42,14,33,35,87,30,30,22,24,10,58,52
33,9,10,18,13,32,20,10,20,14,14,17,40,27,20,20,19,9,35,27
48,6,4,15,13,41,44,6,26,7,9,16,60,35,23,31,26,5,34,59
24,8,10,12,7,18,22,4,3,8,8,10,33,16,8,14,13,4,22,41
48,12,12,25,12,51,52,10,0,15,13,15,57,43,18,25,32,8,31,84
26,9,12,18,9,22,23,11,24,13,14,24,39,25,19,22,33,12,25,40
55,27,22,31,28,32,33,28,32,27,24,21,29,32,25,35,44,27,58,99
79,31,44,75,61,102,117,0,0,49,99,49,126,74,94,73,53,14,119,157
28,8,30,62,25,94,85,0,0,26,75,27,95,60,72,68,51,7,75,87
38,8,8,33,8,43,59,18,36,8,21,10,49,28,30,22,22,2,37,51
28,3,4,16,4,27,44,2,22,4,6,5,38,16,12,13,7,3,38,59
35,6,3,20,3,31,37,5,19,4,6,4,40,17,14,23,8,2,19,48
29,5,5,21,3,35,50,4,17,5,10,9,45,29,13,18,14,3,21,28
20,5,6,13,5,15,21,8,9,4,6,7,18,21,12,11,10,4,9,13
