"1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
6,0,6,4,6,24,22,54,28,40,10,0,20,2,26,18,18,8,22,10
4,14,11,18,14,42,58,22,20,28,12,2,56,18,28,38,50,15,16,31
4,11,4,22,10,26,39,25,34,12,21,8,34,10,24,24,10,10,22,14
22,16,6,17,16,8,28,48,26,12,22,16,28,18,28,18,24,22,14,12
4,8,22,6,14,16,44,37,18,14,2,4,20,6,24,12,8,16,44,0
12,6,10,8,8,12,8,0,38,46,8,18,18,14,18,12,16,16,12,2
12,64,38,38,78,44,44,64,66,76,32,28,58,26,30,44,44,12,22,38
16,26,10,24,16,24,38,52,48,52,54,20,38,10,32,48,40,36,38,16
14,8,0,22,24,6,4,20,12,16,4,2,8,4,10,8,8,24,4,6
16,24,30,16,32,20,18,28,28,26,26,20,18,10,10,16,16,16,16,32
39,24,28,23,43,46,56,36,36,70,54,8,16,14,22,20,46,34,30,22
2,4,4,30,32,52,50,58,28,10,10,2,32,6,24,12,26,44,8,16
2,5,6,6,17,26,40,24,10,35,10,2,30,10,33,14,18,14,12,14
2,0,8,2,6,4,18,4,4,8,2,2,18,2,4,10,4,2,4,2
0,0,0,6,0,6,4,0,8,2,0,0,18,4,0,0,0,0,0,0
4,2,0,6,2,4,20,10,8,2,0,2,14,2,2,4,2,2,0,2
12,24,12,18,34,26,32,18,27,62,26,16,34,16,34,28,68,24,45,20
26,72,28,32,34,55,41,52,34,84,36,6,100,39,36,74,90,74,46,30
42,53,12,38,34,46,31,73,59,52,50,8,46,10,28,93,36,76,32,36
2,38,18,24,28,26,50,56,66,58,34,4,41,2,29,50,42,64,68,34
10,18,6,2,38,37,25,63,22,58,34,12,28,6,26,51,58,72,30,34
4,6,14,30,14,24,48,42,28,42,18,2,20,8,16,44,28,31,4,12
4,8,14,20,0,28,48,6,20,20,12,6,24,10,6,14,10,6,4,2
6,6,18,57,12,28,28,47,40,30,2,0,26,14,28,25,17,6,0,6
0,4,0,4,10,4,8,10,38,14,4,4,6,14,0,38,28,6,10,2
2,7,5,22,4,18,12,10,28,21,22,2,16,12,22,20,6,23,14,16
27,54,32,60,64,77,68,98,70,98,125,59,38,74,44,40,80,0,140,100
4,50,18,26,29,47,28,56,43,52,22,10,16,22,20,40,66,0,46,66
6,25,10,19,16,28,26,20,16,36,34,2,28,4,44,28,30,0,26,36
12,34,32,38,26,60,38,44,14,36,14,4,26,12,36,38,42,28,6,8
12,30,16,43,37,42,41,44,18,60,32,8,16,6,32,32,47,46,36,28
0,0,0,63,12,18,20,2,28,8,8,2,4,4,28,20,20,14,2,0
4,6,32,18,20,20,34,36,68,40,4,0,14,0,16,34,34,40,16,6
6,12,12,75,28,58,40,28,60,26,22,6,51,12,42,42,30,36,24,12
4,8,14,10,4,10,8,44,30,44,10,14,10,2,14,36,10,8,18,28
32,2,20,30,26,32,18,24,36,27,22,10,10,4,36,32,32,52,22,6
4,34,40,96,86,118,108,100,100,65,50,18,38,82,60,62,70,94,92,91
22,84,84,85,84,128,86,145,118,93,122,54,62,74,46,68,92,96,64,94
24,62,18,18,20,53,53,32,46,54,40,34,16,22,58,40,35,48,20,59
2,0,0,8,10,18,8,8,14,12,6,35,6,0,12,20,22,6,12,10
2,20,21,14,13,26,32,32,48,42,39,18,46,2,30,40,24,18,20,18
6,31,18,12,8,26,16,24,14,26,22,12,34,4,26,28,26,36,28,12
6,8,8,21,10,20,18,12,37,12,12,6,39,8,24,22,22,16,6,28
16,8,6,28,2,10,14,9,36,26,12,13,18,6,20,28,12,30,12,10
4,8,4,6,0,12,20,6,24,24,10,6,20,10,14,20,24,24,10,4
4,10,14,20,16,20,32,16,32,40,28,20,29,10,6,38,26,36,24,12
0,0,0,0,0,0,0,0,0,18,4,2,10,6,4,20,24,22,4,6
20,26,26,30,37,78,38,24,66,36,18,14,30,20,36,81,42,50,56,66
4,28,10,12,40,28,10,52,17,24,6,8,20,6,2,12,8,12,8,2
8,20,16,22,10,12,10,20,52,36,0,0,32,0,19,44,50,60,22,10
24,34,16,47,28,34,28,32,52,40,26,24,28,20,36,32,22,36,40,30
2,14,18,22,52,48,41,20,38,42,30,10,67,14,12,53,40,48,28,28
9,7,16,44,2,16,20,4,8,12,30,0,22,4,6,24,26,26,32,6
6,6,10,32,30,37,21,10,36,4,12,4,45,0,8,42,35,48,32,62
4,14,26,36,8,42,12,33,38,32,16,18,48,10,46,60,59,62,30,32
6,12,14,34,2,38,28,19,32,14,6,2,36,8,18,36,22,52,20,6
22,39,10,48,22,34,36,34,63,44,46,36,55,54,84,52,94,22,14,18
10,0,0,12,8,32,64,12,2,14,0,6,40,70,42,10,28,2,0,8
4,6,8,18,6,22,52,24,6,6,2,0,34,44,18,16,34,2,2,4
6,16,4,10,8,22,20,2,16,4,12,2,16,32,14,10,22,4,0,10
30,14,21,32,11,18,20,10,36,24,4,14,40,36,18,20,60,8,8,12
4,10,0,8,10,12,18,8,12,2,0,18,8,10,18,24,40,8,14,10
28,2,2,0,8,19,20,18,8,14,10,13,26,4,8,20,20,8,14,6
8,2,4,16,6,10,16,10,14,2,10,14,12,36,4,0,30,8,2,2
11,4,18,12,12,36,38,26,30,49,51,38,52,78,42,56,52,24,58,20
16,8,14,12,26,16,26,14,15,16,18,34,54,28,12,28,16,20,39,12
2,2,2,2,6,10,14,10,12,6,12,10,10,16,23,10,19,12,12,8
10,6,26,20,17,6,18,8,16,4,6,8,30,16,14,12,18,16,6,10
12,16,14,34,17,26,50,14,10,18,14,6,26,31,48,26,24,6,12,14
10,2,16,20,40,20,38,35,38,38,30,8,20,22,10,28,24,48,2,14
6,6,11,20,4,18,24,2,20,2,2,2,34,8,8,10,20,10,6,12
4,10,0,6,10,10,10,2,8,6,14,10,8,6,14,24,26,4,0,8
0,0,2,8,4,16,8,10,6,2,0,2,4,4,12,0,0,4,0,0
4,0,4,14,6,40,40,36,14,16,12,2,16,42,36,30,43,32,14,30
2,0,0,2,8,0,4,2,10,2,2,2,6,2,4,0,0,8,0,0
0,0,0,2,2,42,38,30,16,4,2,4,0,8,18,8,24,4,2,6
18,52,5,10,24,38,49,56,62,76,61,44,37,74,38,92,64,30,16,20
51,41,23,36,36,46,57,109,117,92,72,98,74,82,84,84,73,72,48,36
18,24,6,10,20,28,25,38,46,56,62,20,53,54,66,42,55,42,2,8
32,38,8,21,46,42,42,102,74,78,132,76,46,108,83,94,80,48,63,46
30,39,10,36,37,56,70,84,105,78,104,76,74,66,78,58,58,72,56,48
36,37,31,22,24,50,42,0,58,77,52,14,20,48,56,45,76,10,36,36
24,24,6,20,14,43,20,27,48,32,26,6,12,10,54,26,24,20,8,12
6,20,22,2,26,37,28,34,29,24,38,10,26,30,20,43,33,16,28,16
28,16,0,0,14,18,20,12,22,30,12,10,4,28,20,34,28,0,8,8
16,30,0,2,17,16,36,36,32,36,36,18,22,18,43,32,28,32,30,20
46,64,22,15,54,42,46,112,50,94,114,48,59,66,87,95,65,126,56,62
10,12,0,22,24,8,28,14,8,30,30,4,20,10,22,54,8,26,22,8
16,39,16,8,30,22,58,108,88,54,56,39,52,58,70,60,85,54,55,52
34,34,2,24,28,58,26,56,88,36,53,12,59,46,32,62,50,31,32,58
44,50,41,14,28,30,44,64,91,48,81,28,56,60,49,52,54,46,46,77
