"1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
0,0,0,8,4,18,32,2,6,6,14,2,22,6,46,4,8,2,4,10
0,0,2,6,4,16,8,2,2,2,6,4,18,8,10,2,2,0,2,2
0,0,2,48,12,64,32,20,26,42,36,0,32,20,24,14,42,6,18,2
8,8,4,32,4,32,8,28,20,18,22,0,44,4,20,16,42,4,14,6
4,4,11,4,0,46,39,8,12,10,8,2,64,36,38,44,42,6,20,16
2,8,2,30,4,18,20,2,8,2,2,2,56,2,12,24,32,6,8,18
0,2,0,10,6,10,2,2,10,2,6,2,22,2,4,4,20,0,2,6
0,0,0,13,18,30,65,2,38,8,66,6,12,4,20,2,10,2,2,0
0,0,0,8,14,23,16,6,18,16,24,4,40,0,6,12,4,4,8,10
2,2,2,10,6,34,48,2,16,20,14,0,22,8,4,12,4,0,4,14
0,0,6,28,10,34,58,12,14,32,36,18,36,20,24,28,30,8,14,20
0,2,2,2,6,6,16,10,18,18,16,6,48,0,48,36,18,0,2,14
14,2,6,18,6,32,20,12,22,11,12,6,48,2,18,30,36,2,12,14
8,8,4,4,6,8,8,4,10,4,8,0,36,2,12,30,4,4,6,4
15,2,6,28,15,50,35,6,38,8,15,0,61,4,22,10,26,2,2,6
2,0,0,8,6,18,8,4,6,8,6,2,30,4,8,24,20,0,2,4
0,4,0,4,2,16,16,8,8,4,6,0,8,0,4,18,4,2,2,0
2,6,10,0,8,36,30,14,32,16,4,0,8,4,4,12,16,2,0,8
0,4,2,28,18,60,61,32,28,8,12,2,28,4,24,84,50,8,24,19
4,0,6,14,4,24,22,2,10,4,0,0,4,4,12,22,18,0,6,6
2,2,10,12,8,10,4,12,10,6,10,2,2,2,18,14,34,6,10,14
6,6,4,4,6,20,28,28,14,24,16,2,12,4,10,34,36,2,6,12
4,4,0,6,0,8,0,2,14,2,2,4,12,0,10,14,22,0,4,6
0,0,2,0,0,0,4,0,2,0,0,0,6,0,0,0,0,0,0,0
4,2,0,2,2,4,4,4,2,0,2,0,0,0,0,6,4,0,2,0
0,2,2,8,4,18,6,16,8,6,8,0,22,6,14,20,6,2,8,4
0,6,0,8,12,13,8,16,12,4,6,0,30,2,4,30,14,2,6,2
0,0,2,8,0,12,14,16,24,20,2,0,24,14,16,28,30,4,10,2
2,2,0,12,0,34,66,10,20,51,14,2,22,2,26,28,30,4,8,14
0,0,0,0,2,8,4,2,8,0,2,0,10,8,6,14,2,0,2,2
4,0,0,6,6,8,11,6,10,0,4,0,12,2,0,4,16,2,0,2
0,0,2,28,6,10,12,13,6,10,2,0,12,0,24,10,24,0,22,0
0,0,0,0,2,2,12,4,2,6,17,2,6,4,8,6,4,0,0,2
0,16,0,16,28,12,20,8,6,10,8,0,40,6,21,24,12,2,14,16
2,16,4,18,8,18,26,16,8,16,16,0,58,2,24,28,16,6,8,6
0,0,0,4,0,2,10,10,2,0,0,0,8,0,6,14,22,0,2,2
2,0,2,6,2,2,14,4,6,2,4,0,6,0,10,2,32,4,6,4
2,8,0,22,6,18,6,14,20,10,14,0,12,0,18,28,32,14,10,2
0,0,2,39,9,26,20,4,8,10,2,0,12,0,10,10,40,14,2,2
0,0,8,0,2,23,72,0,0,4,0,0,26,6,18,14,2,2,0,2
0,0,0,8,4,8,42,2,8,16,0,0,32,0,14,6,0,2,0,0
0,0,0,2,0,2,4,0,0,0,0,0,16,0,0,0,6,0,0,0
0,0,0,10,0,0,40,8,2,2,0,0,6,0,0,2,2,6,0,0
2,16,4,4,2,20,14,4,16,2,6,0,40,26,8,46,18,6,2,4
16,16,0,24,16,30,32,26,18,8,18,0,52,8,26,72,50,6,14,14
6,14,0,14,12,16,46,10,18,8,14,0,28,0,32,76,70,22,14,14
0,2,4,6,0,4,14,6,0,6,4,0,16,0,18,30,40,18,2,0
2,2,2,10,6,16,10,0,2,12,2,0,20,2,20,56,46,16,8,8
0,0,10,14,2,29,26,10,6,20,2,0,6,0,12,12,6,6,0,0
