"station","utmx","utmy","forest"
584,413657,4818189,0.527765106
585,416239,4817614,0.4093787355
586,427763,4819203,0.5615368625
587,413545,4822269,0.48320079
588,418209,4822031,0.3554897515
589,413016,4827424,0.419720333
590,417512,4825544,0.488667533
591,421703,4825976,0.7265225985
592,417255,4829898,0.5329646815
593,420177,4830023,0.7267169755
594,417162,4833558,0.5839965335
595,420305,4834355,0.717117747
596,416243,4837720,0.5489088495
597,421056,4837635,0.7989445145
598,417687,4841635,0.721575392
599,420771,4841369,0.757307
600,441980,4852986,0.5741968755
601,444457,4853217,0.6427323065
602,447367,4852429,0.530091392
603,436593,4856640,0.595453923
604,438756,4855105,0.542858087
605,443346,4856853,0.422340448
606,337142,4783376.5,0.373471877
607,340158.5,4783491,0.4252593745
